apex1_x, apex1_y, apex1_z, apex2_x, apex2_y, apex2_z, apex3_x, apex3_y, apex3_z, a, b, p0_x, p0_y, p0_z, n1_x, n1_y, n1_z, n2_x, n2_y, n2_z, n3_x, n3_y, n3_z
5.022939443588256836e-01,0.000000000000000000e+00,1.935898065567016602e+00,4.189615547657012939e-01,1.204144209623336792e-01,1.951914787292480469e+00,3.678111135959625244e-01,0.000000000000000000e+00,1.965887784957885742e+00,1.473107486963272095e-01,1.377861201763153076e-01,5.022939443588256836e-01,0.000000000000000000e+00,1.935898065567016602e+00,-5.656911730766296387e-01,8.174177408218383789e-01,1.087274476885795593e-01,-9.760259389877319336e-01,0.000000000000000000e+00,2.176541388034820557e-01,2.176070511341094971e-01,2.079785615205764771e-02,9.758148193359375000e-01
6.401932835578918457e-01,0.000000000000000000e+00,1.894769906997680664e+00,5.580776929855346680e-01,1.231741979718208313e-01,1.916605591773986816e+00,5.022939443588256836e-01,0.000000000000000000e+00,1.935898065567016602e+00,1.496383994817733765e-01,1.439018845558166504e-01,6.401932835578918457e-01,0.000000000000000000e+00,1.894769906997680664e+00,-5.487601757049560547e-01,8.231456279754638672e-01,1.459230035543441772e-01,-9.582872390747070312e-01,0.000000000000000000e+00,2.858069539070129395e-01,2.857459783554077148e-01,2.065211907029151917e-02,9.580828547477722168e-01
7.793467044830322266e-01,0.000000000000000000e+00,1.841906189918518066e+00,6.998673677444458008e-01,1.253732740879058838e-01,1.869349360466003418e+00,6.401932835578918457e-01,0.000000000000000000e+00,1.894769906997680664e+00,1.509587764739990234e-01,1.488564759492874146e-01,7.793467044830322266e-01,0.000000000000000000e+00,1.841906189918518066e+00,-5.264969468116760254e-01,8.305132985115051270e-01,1.817924827337265015e-01,-9.348160624504089355e-01,0.000000000000000000e+00,3.551321327686309814e-01,3.550574779510498047e-01,2.050524204969406128e-02,9.346195459365844727e-01
9.172937273979187012e-01,0.000000000000000000e+00,1.777237176895141602e+00,8.418645262718200684e-01,1.269065439701080322e-01,1.809739947319030762e+00,7.793467044830322266e-01,0.000000000000000000e+00,1.841906189918518066e+00,1.523530781269073486e-01,1.450807154178619385e-01,7.793467044830322266e-01,0.000000000000000000e+00,1.841906189918518066e+00,9.054429531097412109e-01,0.000000000000000000e+00,-4.244680404663085938e-01,4.309175312519073486e-01,8.747306466102600098e-01,-2.217127382755279541e-01,4.243798255920410156e-01,2.038776315748691559e-02,9.052547812461853027e-01
1.051459431648254395e+00,0.000000000000000000e+00,1.701303243637084961e+00,9.813588261604309082e-01,1.276946216821670532e-01,1.737995505332946777e+00,9.172937273979187012e-01,0.000000000000000000e+00,1.777237176895141602e+00,1.541635394096374512e-01,1.481558680534362793e-01,9.172937273979187012e-01,0.000000000000000000e+00,1.777237176895141602e+00,8.702816963195800781e-01,0.000000000000000000e+00,-4.925544261932373047e-01,4.324168860912322998e-01,8.618937730789184570e-01,-2.648674845695495605e-01,4.924526512622833252e-01,2.032367885112762451e-02,8.701018691062927246e-01
1.179378032684326172e+00,0.000000000000000000e+00,1.615260958671569824e+00,1.115626096725463867e+00,1.276947557926177979e-01,1.655014276504516602e+00,1.051459431648254395e+00,0.000000000000000000e+00,1.701303243637084961e+00,1.541636884212493896e-01,1.502197831869125366e-01,1.051459431648254395e+00,0.000000000000000000e+00,1.701303243637084961e+00,8.297582864761352539e-01,0.000000000000000000e+00,-5.581228733062744141e-01,4.271518886089324951e-01,8.500528335571289062e-01,-3.081416189670562744e-01,5.580075979232788086e-01,2.032373659312725067e-02,8.295868635177612305e-01
1.298911809921264648e+00,0.000000000000000000e+00,1.520798325538635254e+00,1.242180585861206055e+00,1.269069164991378784e-01,1.562332272529602051e+00,1.179378032684326172e+00,0.000000000000000000e+00,1.615260958671569824e+00,1.523532569408416748e-01,1.511653810739517212e-01,1.179378032684326172e+00,0.000000000000000000e+00,1.615260958671569824e+00,7.845830321311950684e-01,0.000000000000000000e+00,-6.200237274169921875e-01,4.154559373855590820e-01,8.395236730575561523e-01,-3.501376211643218994e-01,6.198948621749877930e-01,2.038767933845520020e-02,7.844199538230895996e-01
1.408426403999328613e+00,0.000000000000000000e+00,1.419977307319641113e+00,1.359000444412231445e+00,1.253738701343536377e-01,1.461984515190124512e+00,1.298911809921264648e+00,0.000000000000000000e+00,1.520798325538635254e+00,1.509580016136169434e-01,1.411599665880203247e-01,1.359000444412231445e+00,1.253738701343536377e-01,1.461984515190124512e+00,-3.980486989021301270e-01,-8.305215239524841309e-01,3.896037936210632324e-01,3.501414656639099121e-01,-8.881687521934509277e-01,-2.975858449935913086e-01,6.771600246429443359e-01,2.050570584833621979e-02,7.355500459671020508e-01
1.506883144378662109e+00,0.000000000000000000e+00,1.315029501914978027e+00,1.464678525924682617e+00,1.231750026345252991e-01,1.356297969818115234e+00,1.408426403999328613e+00,0.000000000000000000e+00,1.419977307319641113e+00,1.496376991271972656e-01,1.365884244441986084e-01,1.464678525924682617e+00,1.231750026345252991e-01,1.356297969818115234e+00,-3.759221136569976807e-01,-8.231548666954040527e-01,4.255567789077758789e-01,3.089911937713623047e-01,-9.017968177795410156e-01,-3.021373748779296875e-01,7.291452884674072266e-01,2.065121755003929138e-02,6.840472817420959473e-01
1.593850135803222656e+00,0.000000000000000000e+00,1.208156585693359375e+00,1.558475255966186523e+00,1.204153746366500854e-01,1.247659683227539062e+00,1.506883144378662109e+00,0.000000000000000000e+00,1.315029501914978027e+00,1.473102122545242310e-01,1.315740793943405151e-01,1.558475255966186523e+00,1.204153746366500854e-01,1.247659683227539062e+00,-3.502276539802551270e-01,-8.174272179603576660e-01,4.573329687118530273e-01,2.688590288162231445e-01,-9.151906967163085938e-01,-3.002346456050872803e-01,7.754745483398437500e-01,2.079826779663562775e-02,6.310362815856933594e-01
1.669431805610656738e+00,0.000000000000000000e+00,1.101361632347106934e+00,1.640277147293090820e+00,1.172133162617683411e-01,1.138311147689819336e+00,1.593850135803222656e+00,0.000000000000000000e+00,1.208156585693359375e+00,1.441277712583541870e-01,1.263100206851959229e-01,1.640277147293090820e+00,1.172133162617683411e-01,1.138311147689819336e+00,-3.221239745616912842e-01,-8.132597804069519043e-01,4.846077859401702881e-01,2.308182567358016968e-01,-9.279811382293701172e-01,-2.925303578376770020e-01,8.160792589187622070e-01,2.091829665005207062e-02,5.775613188743591309e-01
1.734158158302307129e+00,0.000000000000000000e+00,9.963408112525939941e-01,1.710486888885498047e+00,1.136883497238159180e-01,1.030198454856872559e+00,1.669431805610656738e+00,0.000000000000000000e+00,1.101361632347106934e+00,1.402667462825775146e-01,1.209616065025329590e-01,1.710486888885498047e+00,1.136883497238159180e-01,1.030198454856872559e+00,-2.926929295063018799e-01,-8.105153441429138184e-01,5.073417425155639648e-01,1.956924200057983398e-01,-9.398713707923889160e-01,-2.799040377140045166e-01,8.511153459548950195e-01,2.099297568202018738e-02,5.245588421821594238e-01
1.156103760004043579e-01,0.000000000000000000e+00,1.996655583381652832e+00,1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,3.572461009025573730e-02,1.099509000778198242e-01,1.996655702590942383e+00,1.359078139066696167e-01,1.209611222147941589e-01,3.572461009025573730e-02,1.099509000778198242e-01,1.996655702590942383e+00,5.877937674522399902e-01,-8.090108633041381836e-01,-8.771334591983759310e-07,9.982788562774658203e-01,3.088833205401897430e-02,-4.985239729285240173e-02,4.875164851546287537e-02,3.541984409093856812e-02,9.981827139854431152e-01
1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,7.369547337293624878e-02,2.268151938915252686e-01,1.985730171203613281e+00,3.572461009025573730e-02,1.099509000778198242e-01,1.996655702590942383e+00,1.402668207883834839e-01,1.209611222147941589e-01,1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,-5.901756882667541504e-01,8.065200448036193848e-01,-3.490012511610984802e-02,-9.982788562774658203e-01,-3.088833205401897430e-02,4.985239729285240173e-02,4.732624441385269165e-02,7.772420346736907959e-02,9.958509802818298340e-01
2.384899556636810303e-01,0.000000000000000000e+00,1.985729813575744629e+00,2.845747768878936768e-01,1.172122359275817871e-01,1.976177692413330078e+00,1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,1.402668207883834839e-01,1.289576143026351929e-01,1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,5.846886038780212402e-01,-8.105066418647766113e-01,-3.490267321467399597e-02,9.933282136917114258e-01,2.733493968844413757e-02,-1.120353266596794128e-01,1.109856888651847839e-01,3.729699924588203430e-02,9.931219220161437988e-01
2.845747768878936768e-01,1.172122359275817871e-01,1.976177692413330078e+00,1.994132697582244873e-01,2.344244718551635742e-01,1.976177930831909180e+00,1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,1.448833644390106201e-01,1.289576143026351929e-01,2.845747768878936768e-01,1.172122359275817871e-01,1.976177692413330078e+00,-5.877935290336608887e-01,8.090109825134277344e-01,1.645589691179338843e-06,-9.933282136917114258e-01,-2.733493968844413757e-02,1.120353266596794128e-01,1.095583960413932800e-01,7.959853112697601318e-02,9.907880425453186035e-01
1.564775407314300537e-01,1.136871874332427979e-01,1.990625500679016113e+00,1.994132697582244873e-01,2.344244718551635742e-01,1.976177930831909180e+00,7.369547337293624878e-02,2.268151938915252686e-01,1.985730171203613281e+00,1.402668207883834839e-01,1.263095736503601074e-01,7.369547337293624878e-02,2.268151938915252686e-01,1.985730171203613281e+00,5.901756882667541504e-01,-8.065200448036193848e-01,3.490012511610984802e-02,9.953148365020751953e-01,6.024308130145072937e-02,-7.562562078237533569e-02,6.976781785488128662e-02,9.402784705162048340e-02,9.931219816207885742e-01
1.994132697582244873e-01,2.344244718551635742e-01,1.976177930831909180e+00,1.136568635702133179e-01,3.498057723045349121e-01,1.965888619422912598e+00,7.369547337293624878e-02,2.268151938915252686e-01,1.985730171203613281e+00,1.441279798746109009e-01,1.263095736503601074e-01,1.994132697582244873e-01,2.344244718551635742e-01,1.976177930831909180e+00,-5.950018167495727539e-01,8.005475401878356934e-01,-7.139010727405548096e-02,-9.953148365020751953e-01,-6.024308130145072937e-02,7.562562078237533569e-02,6.674956530332565308e-02,1.377370208501815796e-01,9.882170557975769043e-01
